ID,sex,owngun,race,marital,relig,attend3,partyid,degree,cappun,homosex2,premarsx2,grass,gunlaw,vote08,divlaw,getahead,natroad,natsci,eqwlth,age
1283,1,,2,5,1,3,3,2,2,,0,1,,1,2,,2,1,1,37
484,2,,2,1,1,3,2,1,1,,0,2,,1,1,,3,1,5,68
966,2,1,1,2,2,1,4,2,1,0,1,,1,2,1,1,3,3,,36
1698,1,2,1,1,1,2,1,2,2,1,,,1,1,,1,1,1,5,87
1830,2,,1,5,1,1,4,2,1,,1,,,2,1,,2,2,1,34
241,1,,1,1,2,2,2,2,1,,1,1,,1,3,,3,,4,39
1913,2,2,2,1,1,2,1,1,2,1,,2,1,1,,1,3,3,1,43
922,2,2,1,2,1,1,4,2,1,1,,,1,2,2,3,1,3,,76
755,2,2,1,5,11,3,5,1,1,0,,1,1,,,1,3,2,5,19
562,2,2,1,1,2,1,4,2,2,1,1,,1,2,3,2,2,2,,71
650,2,,1,5,2,1,6,2,1,,1,1,,1,1,,2,2,1,49
1277,1,1,1,5,4,1,3,2,1,1,1,,2,,1,1,2,2,,21
1276,2,2,2,1,1,3,1,1,1,1,,,1,1,,1,1,2,,77
1621,1,,1,4,1,3,7,2,1,,0,1,,2,2,,3,1,3,57
1183,1,,2,5,4,1,2,1,2,,0,1,,2,2,,2,2,4,39
1877,2,3,1,1,1,1,7,2,1,1,,2,1,1,,1,1,2,2,36
1787,1,2,3,5,1,1,5,2,1,1,1,,1,,1,1,2,1,,30
721,2,2,1,5,1,1,1,1,1,0,,1,1,1,,1,1,2,1,53
81,1,,1,5,3,1,2,2,2,,1,2,,1,1,,2,1,7,59
94,2,2,1,4,2,3,1,2,1,0,1,,1,1,1,2,2,1,,48
1853,1,2,1,3,4,1,5,2,1,0,,1,2,1,,1,1,1,7,49
1043,1,2,1,5,2,1,4,1,,1,1,,1,2,,1,2,,,29
1773,1,1,1,1,1,3,7,2,1,1,,2,2,1,,2,3,2,7,78
1620,1,2,1,2,2,1,2,2,1,1,0,,2,2,2,3,2,1,,61
153,1,2,3,5,2,1,2,1,1,0,1,,1,2,1,1,2,2,,22
496,1,1,1,2,4,1,5,1,,1,0,,2,2,1,1,1,1,,34
1738,2,1,3,2,2,3,2,2,2,1,,2,1,1,,1,2,1,3,89
1376,1,1,1,5,11,1,4,2,1,1,,1,2,2,,1,1,2,4,36
1245,2,,1,1,1,1,2,2,1,,1,2,,1,1,,1,1,6,61
1092,2,,1,1,1,1,6,2,1,,0,,,2,2,,1,3,3,62
1313,1,2,1,3,5,1,1,2,,1,,2,,,,1,,2,4,52
1697,2,,1,1,4,1,,2,1,,1,1,,1,1,,1,1,3,38
201,2,2,3,1,2,3,4,1,2,1,,2,1,,,3,2,1,7,41
640,1,,3,1,11,3,6,2,1,,0,2,,1,1,,2,2,6,42
1166,1,2,2,5,1,1,1,2,2,1,1,,2,,1,2,2,2,,21
1382,2,,1,5,4,1,4,2,2,,1,1,,,2,,3,,4,19
1919,2,2,1,3,1,3,7,2,1,1,0,,2,1,2,3,1,2,,66
1139,2,,1,2,1,3,7,1,2,,0,2,,2,2,,2,2,1,82
1020,2,1,1,2,2,1,2,1,1,1,,2,1,1,,1,,,1,77
1962,1,,1,3,2,1,6,2,1,,1,2,,1,2,,1,1,1,71
1506,1,2,2,4,1,1,1,1,1,1,,1,1,2,,3,1,1,1,51
22,1,2,3,5,2,2,2,1,,1,,2,1,1,,1,2,2,3,39
828,2,2,1,3,1,1,3,2,2,1,0,,1,1,2,3,1,2,,63
1408,2,2,1,3,1,1,4,1,1,0,1,,2,2,2,1,3,,,42
1932,2,2,1,2,1,3,4,1,,1,,2,,2,,,,,,81
1670,2,2,1,5,11,1,4,2,1,0,1,,1,2,3,1,2,1,,29
